"NZPOCS STATUS (LOINC 2.73)",NZ_SHORT_NAME,Consumer_Name,LOINC_LONG_NAME,CODE,SOURCE_TYPE,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,REMARKS,KEYWORDS,LOINC_STATUS,EFFECTIVE_DATE,END_DATE,MERGE_TO_CODE,MERGE_TO_SOURCE_TYPE,NZ_ ORDERS,"NZ_OBSERVATION",Haematology,"MicrobiologyABX",Microbiology Gyn/Cyto,Biochemistry,Immunology,Serology / Virology,Toxicology,"Histology(Bowel Screening)",EXTERNAL_COPYRIGHT_NOTICE,LOINC_SHORTNAME,HPAC_CODE,HPAC_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,11Deoxycortisol,"11-Deoxycortisol, Blood",11-Deoxycortisol [Moles/​volume] in Serum or Plasma,14567-2,LN,11-Deoxycortisol,SCnc,Pt,Ser/Plas,Qn,,,11deoxycortisol,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,Yes,,,,,,11DC SerPl-sCnc,,11Deoxycortisol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,11-Deoxycortisol (1d p metyrapone),"11-Deoxycortisol 1 Day after metyraPONE, Blood",11-Deoxycortisol [Moles/​volume] in Serum or Plasma --1 day post dose metyrapone,57502-7,LN,11-Deoxycortisol^1D post dose metyrapone,SCnc,Pt,Ser/Plas,Qn,,,11-deoxycortisol 1 day post  metyrapone dose,ACTIVE,1-Apr-15,,,,,Yes,,,,Yes,,,,,,11DC 1D p MTP SerPl-sCnc,,Metyrapone test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,17-Hydroxy progesterone,"17-Hydroxyprogesterone, Blood",17-Hydroxyprogesterone [Moles/​volume] in Serum or Plasma,14569-8,LN,17-Hydroxyprogesterone,SCnc,Pt,Ser/Plas,Qn,,,17 OH progesterone hydroxy,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,Yes,,,,,,17OHP SerPl-sCnc,,17-OH Progesterone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,5-Fluorocytosine suscep (MIC),Susceptibility to 5-Fluorocytosine,5-Fluorocytosine [Susceptibility] by Minimum inhibitory concentration (MIC),253-5,LN,5-Fluorocytosine,Susc,Pt,Isolate,OrdQn,MIC,,5-Fluorocytosine,ACTIVE,,,,,,Yes,,Yes,,,,,,,,5-fluorocytosine Islt MIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,5-Fluorocytosine suscep (qual),Susceptibility to 5-Fluorocytosine,5-Fluorocytosine [Susceptibility],18855-7,LN,5-Fluorocytosine,Susc,Pt,Isolate,OrdQn,,,5-Fluorocytosine,ACTIVE,,,,,,Yes,,Yes,,,,,,,,5-fluorocytosine Susc Islt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,5HIAA urine,"5-Hydroxyindoleacetate, Urine",5-Hydroxyindoleacetate [Moles/volume] in Urine,15009-4,LN,5-Hydroxyindoleacetate,SCnc,Pt,Urine,Qn,,,5HIAA urine hydroxyindole acetate acetic acid,ACTIVE,,,,,Yes,Yes,,,,Yes,,,,,,5OH-indoleacetate Ur-sCnc,BU1,Hydroxy-indoleacetic acetic acid (Serotonin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,5HIAA urine 24h,"5-Hydroxyindoleacetate, Urine",5-Hydroxyindoleacetate [Moles/time] in 24 hour Urine,14573-0,LN,5-Hydroxyindoleacetate,SRat,24H,Urine,Qn,,,5HIAA urine 24h hydroxyindole acetate acetic acid,ACTIVE,,,,,Yes,Yes,,,,Yes,,,,,,5OH-indoleacetate 24h Ur-sRate,BU1,Hydroxy-indoleacetic acetic acid (Serotonin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,5HIAA/creat urine,"5-Hydroxyindoleacetate/Creatinine, Urine",5-Hydroxyindoleacetate/Creatinine [Molar ratio] in Urine,29520-4,LN,5-Hydroxyindoleacetate/Creatinine,SRto,Pt,Urine,Qn,,,5HIAA creatinine ratio urine hydroxyindole acetate acetic acid,ACTIVE,,,,,,Yes,,,,Yes,,,,,,5OH-indoleacetate/Creat Ur-sRto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,5HIAA/creat urine 24h,"5-Hydroxyindoleacetate/Creatinine, Urine",5-Hydroxyindoleacetate/Creatinine [Molar ratio] in 24 hour Urine,47545-9,LN,5-Hydroxyindoleacetate/Creatinine,SRto,24H,Urine,Qn,,,5HIAA creatinine ratio urine 24h hydroxyindole acetate acetic acid,ACTIVE,10-Dec-09,,,,,Yes,,,,Yes,,,,,,5OH-indoleacetate/Creat 24h Ur-sRto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,6-Methylmercatopurine,"6-Methylmercaptopurine, Red Blood Cells",6-Methylmercaptopurine [Entitic substance] in Red Blood Cells,32654-6,LN,6-Methylmercaptopurine,EntSub,Pt,RBC,Qn,,,6methylmercatopurine entitic substance red blood cells RBC,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,,,,Yes,,,6MMP EntSub RBC,,6-Methylmercatopurine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
